---SAE UIC MOTORSPORTS---
---Version #: 1.7---
Message ID: 0x0005AE05

Time Stamp (Second(s)), Brake Temp FL (C)
3.0394,143.787
3.0495,145.654
3.0595,144.849
3.0695,147.046
3.0873,143.713
3.0895,147.107
3.0995,146.057
3.1094,146.57
3.1204,144.458
3.1295,143.835
3.1395,144.08
3.1495,145.52
3.1595,147.974
3.1704,144.849
3.1795,142.7
3.1895,143.42
3.1995,143.616
3.2095,146.448
3.2203,144.971
3.2295,144.275
3.2395,143.97
3.2495,145.972
3.2595,144.421
3.2703,143.64
3.2795,146.973
3.2895,146.02
3.2995,144.995
3.3095,147.998
3.3203,143.848
3.3295,146.374
3.3395,145.63
3.3495,146.204
3.3595,145.142
3.3703,147.461
3.3795,146.35
3.3895,146.24
3.3995,147.51
3.4095,146.24
3.4194,145.557
3.4295,148.633
3.4395,146.533
3.4494,148.181
3.4595,147.729
3.4695,144.409
3.4795,148.193
3.4895,145.386
3.5004,144.092
3.5095,144.116
3.5272,145.386
3.5295,146.655
3.5472,146.716
3.5504,146.912
3.5595,148.914
3.5695,143.909
3.5796,146.216
3.5896,144.067
3.6004,147.51
3.6096,147.168
3.6196,143.164
3.6296,147.949
3.6394,145.984
3.6504,148.022
3.6595,146.46
3.6695,147.375
3.6795,147.034
3.6895,148.56
3.7002,147.339
3.7095,143.689
3.7195,143.542
3.7295,145.203
3.7395,147.522
3.7503,146.448
3.7595,143.921
3.7695,146.143
3.7796,143.86
3.7896,146.973
3.8004,145.654
3.8096,145.581
3.8196,149.512
3.8296,146.558
3.8396,144.995
3.8504,147.644
3.8595,147.607
3.8695,147.314
3.8872,145.715
3.8895,143.726
3.9081,148.108
3.9095,147.754
3.9195,146.301
3.9295,143.298
3.9394,145.898
3.9505,144.08
3.9595,143.909
3.9694,146.704
3.9796,143.127
3.9896,143.872
4.0004,146.338
4.0094,146.179
4.0195,146.448
4.0295,143.433
4.0395,142.92
4.0503,145.129
4.0595,143.164
4.0695,147.266
4.0795,144.238
4.0895,146.167
4.1003,144.763
4.1095,144.043
4.1195,144.275
4.1295,146.326
4.1473,144.019
4.1503,145.679
4.1595,143.372
4.1695,146.24
4.1795,143.628
4.1895,144.263
4.2004,143.079
4.2095,145.044
4.2271,146.606
4.2295,146.594
4.2395,146.899
4.2504,146.887
4.2595,147.107
4.2695,145.715
4.2794,147.107
4.2895,146.497
4.3004,148.633
4.3094,144.214
4.3194,143.494
4.3295,147.131
4.3395,142.908
4.3504,145.947
4.3595,145.593
4.3695,145.666
4.3874,144.25
4.3895,144.348
4.4002,145.361
4.4095,142.944
4.4195,145.312
4.4295,146.509
4.4395,145.569
4.4494,144.263
4.4595,144.177
4.4695,146.289
4.4795,141.931
4.4895,145.544
4.4995,142.895
4.5095,142.346
4.5195,144.36
4.5304,144.995
4.5395,146.106
4.5495,142.334
4.5596,144.104
4.5696,143.372
4.5804,144.971
4.5896,146.545
4.6073,146.35
4.6096,147.18
4.6196,142.322
4.6294,147.119
4.6395,143.079
4.6495,146.362
4.6595,146.24
4.6695,144.788
4.6795,146.594
4.6895,142.957
4.6995,143.176
4.7094,144.116
4.7273,144.043
4.7295,146.204
4.7395,145.825
4.7494,144.995
4.7673,146.875
4.7696,145.361
4.7796,146.374
4.7904,144.641
4.8073,143.86
4.8096,142.895
4.8196,144.897
4.8296,144.495
4.8403,146.79
4.8495,147.095
4.8595,145.862
4.8695,144.69
4.8873,145.898
4.8905,144.812
4.8995,144.678
4.9095,145.776
4.9195,145.056
4.9295,144.043
4.9403,147.693
4.9495,145.776
4.9596,144.897
4.9696,147.424
4.9873,143.396
4.9903,144.189
4.9996,145.703
5.0096,147.046
5.0195,145.923
5.0295,145.386
5.0403,147.131
5.0495,145.374
5.0595,146.765
5.0695,146.191
5.0795,143.457
5.0903,147.351
5.0995,147.021
5.1095,148.462
5.1273,144.91
5.1295,146.655
5.1402,144.312
5.1495,144.8
5.1595,144.263
5.1695,147.864
5.1795,146.399
5.1904,145.544
5.1995,144.824
5.2095,143.689
5.2195,145.923
5.2295,146.313
5.2403,148.108
5.2495,146.57
5.2595,145.117
5.2695,143.811
5.2795,148.303
5.2902,147.144
5.2995,147.424
5.3095,146.667
5.3195,146.033
5.3295,146.252
5.3403,144.275
5.3495,144.275
5.3595,144.189
5.3695,146.936
5.3795,144.067
5.3904,144.214
5.3995,147.998
5.4094,145.728
5.4195,144.263
5.4295,148.84
5.4404,145.032
5.4495,148.877
5.4595,143.787
5.4695,146.045
5.4795,146.057
5.4903,147.998
5.4995,147.095
5.5095,145.276
5.5195,147.473
5.5295,148.315
5.5403,146.655
5.5495,145.898
5.5596,144.507
5.5696,147.546
5.5796,146.02
5.5904,147.375
5.5996,146.436
5.6096,148.145
5.6194,146.96
5.6294,145.935
5.6404,145.666
5.6495,145.41
5.6595,146.24
5.6694,145.789
5.6795,145.068
5.6904,148.621
5.6994,147.522
5.7095,149.597
5.7272,144.69
5.7295,145.386
5.7482,144.629
5.7495,144.849
5.7673,145.142
5.7696,147.473
5.7796,149.878
5.7905,147.449
5.7996,145.862
5.8096,147.437
5.8273,148.706
5.8296,144.08
5.8483,147.803
5.8495,147.937
5.8673,144.897
5.8695,148.669
5.8795,144.324
5.8903,145.325
5.8995,146.729
5.9095,148.999
5.9195,148.621
5.9295,150.122
5.9403,145.898
5.9495,144.214
5.9595,148.169
5.9696,146.362
5.9796,147.375
5.9904,148.877
6.0073,150.806
6.0095,149.06
6.0195,148.608
6.0295,148.083
6.0394,149.499
6.0495,149.39
6.0595,146.094
6.0694,148.596
6.0795,144.617
6.0895,147.949
6.0995,145.581
6.1095,147.888
6.1202,148.767
