---SAE UIC MOTORSPORTS---
---Version #: 1.7---
Message ID: 0x0005AE02

Time Stamp (Second(s)), MAP (kPA), VE (%), Oil Pressure (PSIg)
26.2795,104.3,71,2.3206
26.2895,96.4,71,2.90075
26.3096,98.1,115,2.90075
26.3196,95.7,111,2.90075
26.3296,95.2,109,2.3206
26.3396,97.2,112,2.90075
26.3496,99.3,102,2.3206
26.3596,106.9,108,2.3206
26.3696,95.2,84,2.3206
26.3883,100.8,128,2.3206
26.3896,97.2,127,2.3206
26.3995,94.9,115,2.3206
26.4095,94.8,109,1.74045
26.4195,96.4,121,1.74045
26.4304,95.2,112,1.74045
26.4395,97.1,111,2.3206
26.4495,95.1,108,1.74045
26.4595,95.1,116,1.74045
26.4695,95.4,126,2.3206
26.4805,99.6,117,2.3206
26.4895,100.9,83,2.3206
26.4995,98.3,114,2.3206
26.5094,97.9,114,2.3206
26.5196,98,118,1.74045
26.5307,96.8,119,2.3206
26.5396,96.8,116,2.3206
26.5496,97.9,114,2.90075
26.5596,96.3,111,2.90075
26.5696,98.4,114,2.90075
26.5805,96.6,111,2.90075
26.5896,96,116,2.3206
26.5996,98,110,2.3206
26.6095,95.5,105,2.90075
26.6195,88.7,104,2.90075
26.6305,57.3,83,2.90075
26.6395,48.3,70,2.90075
26.6495,36.2,63,3.48091
26.6595,34.9,65,2.90075
26.6694,41.2,55,3.48091
26.6805,56.4,58,2.90075
26.6895,74.3,56,2.90075
26.7074,98.5,73,2.90075
26.7095,101.3,71,2.90075
26.7194,103.7,71,3.48091
26.7305,101.5,70,2.90075
26.7396,100.6,70,2.90075
26.7496,99.5,64,3.48091
26.7596,87.2,72,2.90075
26.7696,69.8,63,3.48091
26.7804,69.4,84,2.90075
26.7895,73.5,62,2.3206
26.7995,77.3,62,2.3206
26.8095,69.2,59,2.3206
26.8195,56.2,56,2.3206
26.8306,55.6,59,2.3206
26.8395,53.6,59,2.3206
26.8495,60.4,59,2.3206
26.8595,65.3,61,2.3206
26.8694,63.4,60,2.90075
26.8882,69.9,65,3.48091
26.8895,68.1,65,3.48091
26.8994,69.8,62,2.90075
26.9095,59.3,62,2.90075
26.9195,57.7,61,2.90075
26.9475,63.2,62,2.90075
26.9494,61.2,59,2.90075
26.9595,61.9,59,2.3206
26.9695,64.8,60,2.90075
26.9795,69.1,61,2.90075
26.9895,71.5,63,2.90075
26.9995,65.6,60,2.90075
27.0104,67.4,61,3.48091
27.0195,71.1,63,2.90075
27.0295,68.2,61,2.90075
27.0395,73.2,63,2.90075
27.0495,73,64,3.48091
27.0695,74.4,67,3.48091
27.0794,75,67,3.48091
27.0895,80,68,2.90075
27.0995,78.8,69,2.90075
27.1095,77.7,65,2.90075
27.1195,73.2,65,3.48091
27.1295,74,63,3.48091
27.1404,63,61,2.90075
27.1495,60.4,59,2.90075
27.1595,63.5,59,3.48091
27.1695,70.8,73,2.90075
27.1795,69.6,63,3.48091
27.1903,79.1,64,3.48091
27.1994,71.8,64,3.48091
27.2095,69.6,63,3.48091
27.2195,68.5,63,3.48091
27.2295,70,62,4.06106
27.2403,67.3,58,3.48091
27.2495,64.4,58,3.48091
27.2595,63,56,3.48091
27.2695,63,57,3.48091
27.2795,63,56,3.48091
27.2902,61.5,56,3.48091
27.2995,63,55,2.90075
27.3094,62.9,55,3.48091
27.3195,60.9,59,3.48091
27.3295,55.7,58,2.90075
27.3403,56.1,56,3.48091
27.3495,58.7,53,2.90075
27.3594,61.6,54,2.90075
27.3696,57.5,55,3.48091
27.3796,58.5,54,3.48091
27.3904,63.9,68,3.48091
27.4073,59.4,68,3.48091
27.4096,58.9,72,3.48091
27.4196,64.9,73,3.48091
27.4294,46.8,62,3.48091
27.4404,31.9,67,3.48091
27.4496,33.9,70,3.48091
27.4674,35.7,68,3.48091
27.4695,33.1,65,3.48091
27.4795,33.3,64,2.90075
27.4903,34.1,62,3.48091
27.4995,36.9,58,3.48091
27.5095,44.7,74,3.48091
27.5195,55.1,52,3.48091
27.5295,56.2,70,3.48091
27.5404,68.4,56,3.48091
27.5495,62.4,62,3.48091
27.5595,51,60,3.48091
27.5695,45.1,61,4.06106
27.5795,41.6,57,3.48091
27.5905,39.8,55,4.06106
27.5996,37.8,58,3.48091
27.6096,37.2,61,4.06106
27.6196,41.9,58,3.48091
27.6296,43.7,54,4.06106
27.6405,42.5,57,4.06106
27.6496,44.3,52,4.06106
27.6596,45.3,52,4.06106
27.6696,54.5,55,2.90075
27.6795,57.8,53,5.22136
27.6904,54,53,4.64121
27.6995,52.4,50,4.64121
27.7095,43.2,53,4.64121
27.7195,47.3,53,4.64121
27.7295,43.8,53,4.64121
27.7495,47.6,53,4.64121
27.7595,45.2,52,5.22136
27.7695,46.9,54,4.64121
27.7795,53.1,57,4.64121
27.7895,54.1,54,4.06106
27.7996,56.3,54,4.64121
27.8096,59.1,52,4.64121
27.8205,54.6,53,4.64121
27.8296,55.4,58,4.64121
27.8396,51.9,56,4.64121
27.8496,47,60,4.64121
27.8596,48.5,58,4.06106
27.8795,43.7,54,4.06106
27.8895,44.8,53,4.06106
27.8995,50.4,51,4.64121
27.9095,52.5,51,4.64121
27.9195,55,58,6.38166
27.9294,50.2,61,6.96181
27.9395,50.6,63,4.64121
27.968,39.7,55,5.22136
27.9695,38.4,55,4.64121
27.9795,49.3,52,4.64121
27.9895,47.6,59,5.22136
27.9995,52.9,57,5.22136
28.0094,51.3,62,4.64121
28.0195,54.2,61,5.22136
28.0303,52,63,5.80151
28.0395,51.4,62,5.80151
28.0495,47.1,63,5.22136
28.0594,42,63,5.22136
28.0695,42.3,62,6.38166
28.0895,44.4,51,5.80151
28.0995,51.8,56,6.38166
28.1095,51.4,62,6.38166
28.1195,50.3,62,5.80151
28.1295,50,59,6.38166
28.1474,46.3,64,5.22136
28.1495,50.4,64,5.22136
28.1603,49.8,65,6.38166
28.1695,45.8,64,6.38166
28.1874,44.6,62,5.80151
28.1895,43.9,61,5.80151
28.2074,42.3,55,6.38166
28.2103,44.1,54,6.38166
28.2273,40.3,61,6.96181
28.2295,45.6,63,6.38166
28.2395,44.5,59,5.80151
28.2495,47.2,53,6.38166
28.2603,52.7,63,5.80151
28.2695,56.9,66,4.64121
28.2795,52.4,58,4.64121
28.2895,57.5,64,5.22136
28.2995,52.1,63,5.22136
28.3103,55,65,4.64121
28.3272,52,65,5.22136
28.3295,49,62,4.64121
28.3394,45.6,62,5.22136
28.3495,40.1,63,5.22136
28.3695,39.2,64,5.22136
28.3795,43.2,69,5.80151
28.3895,50.1,63,5.22136
28.3995,52.7,69,5.80151
28.4095,51.5,62,6.38166
28.4195,52.7,64,6.38166
28.4296,52.2,68,6.38166
28.4406,57.5,67,6.38166
28.4496,54.4,65,6.38166
28.4596,48.6,65,6.38166
28.4696,44.6,64,5.22136
28.4873,37.2,61,6.38166
28.4904,37.7,69,6.38166
28.4996,38.3,65,5.80151
28.5096,41.5,69,5.80151
28.5196,47.8,72,5.80151
28.5295,51.9,65,5.22136
28.5404,53.9,69,5.80151
28.5495,53.4,70,5.22136
28.5595,52.4,68,5.80151
28.5695,50.4,66,6.38166
28.5795,48.7,64,6.38166
28.5905,56.7,66,5.80151
28.5995,52.4,64,6.38166
28.6095,33.9,64,6.38166
28.6195,37.9,60,6.38166
28.6295,38.2,64,6.38166
28.6483,42.4,50,5.80151
28.6496,41.3,50,5.80151
28.6596,45.7,52,5.22136
28.6696,47.2,54,5.22136
28.6796,55.2,69,6.38166
28.6905,74.5,95,4.64121
28.7073,90.2,64,6.38166
28.7096,84.8,62,6.38166
28.7196,81.9,62,6.38166
28.7296,80.8,67,6.38166
28.7405,69,67,6.38166
28.7495,69.1,73,6.38166
28.7673,62.5,68,6.96181
28.7695,63.2,71,6.38166
28.7795,63.6,90,6.96181
28.7903,67.9,86,6.38166
28.7994,68.1,95,6.96181
28.8095,76.7,91,6.38166
28.8195,89.2,67,6.38166
28.8295,94.1,71,6.38166
28.8405,81.5,98,6.96181
28.8494,79.4,79,6.96181
28.8594,80.6,91,6.96181
28.8696,79.2,99,6.38166
28.8796,80.7,102,5.80151
28.8906,78.6,100,6.38166
28.9074,71.2,94,5.80151
28.9095,67.8,92,5.80151
28.9195,63.7,80,6.38166
28.9295,51.6,71,6.38166
28.9495,35.3,65,6.38166
28.9672,39.3,55,7.54196
28.9695,40.7,51,7.54196
28.9794,48.3,54,6.96181
28.9894,50.5,52,6.96181
29.0073,57.4,60,7.54196
29.0095,58.9,59,6.96181
29.0195,70.9,76,6.96181
29.0295,75.7,64,6.96181
29.0395,70.6,60,7.54196
29.0495,70.2,67,6.96181
29.0595,68.1,82,6.96181
29.0703,63.4,66,6.96181
29.0795,67.7,72,6.96181
29.0895,58.5,67,6.96181
29.0995,53.2,64,7.54196
29.1095,34.6,65,6.96181
29.1202,34.5,66,6.96181
29.1295,37.1,65,6.96181
29.1395,42,56,6.96181
29.1495,42.8,52,7.54196
29.1595,49.1,53,7.54196
29.1703,55.6,59,7.54196
29.1795,57.6,60,8.12211
29.1895,54.6,60,6.96181
29.1995,47.2,52,6.96181
29.2095,49.4,51,6.96181
29.2203,47.7,51,6.38166
29.2294,48.7,51,7.54196
29.2395,50.3,51,6.96181
29.2495,48.2,52,7.54196
29.2595,48,54,6.96181
29.2703,52,54,7.54196
29.2795,49.6,55,7.54196
29.2895,51.5,57,6.96181
29.2995,58.7,58,6.96181
29.3095,61.3,60,7.54196
29.3203,61.5,61,7.54196
29.3295,62.1,60,7.54196
29.3395,59.8,60,8.12211
29.3495,63,60,6.38166
29.3674,63.7,62,6.38166
29.3706,60.6,60,7.54196
29.3795,60.7,59,8.12211
29.3894,62.6,61,6.38166
29.4074,65.2,60,5.80151
29.4095,63.2,60,5.80151
29.4284,63,62,6.38166
29.4295,65.4,60,5.80151
29.4395,64.4,61,6.38166
29.4495,65.5,60,6.38166
29.4595,66.4,60,6.38166
29.4703,66.2,60,5.80151
29.4796,66.1,61,5.80151
29.4894,67.3,64,6.38166
29.4996,67.9,62,6.38166
29.5096,67.7,61,5.80151
29.5204,68.1,63,5.80151
29.5296,67.9,63,5.80151
29.5396,70.8,63,5.80151
29.5496,69.9,62,5.80151
29.5594,71.2,64,5.80151
29.5704,68.9,62,6.96181
29.5795,67.8,63,5.80151
29.5895,72.9,64,5.80151
29.5995,72.1,63,5.80151
29.6095,69.6,65,6.38166
29.6203,69.6,62,6.96181
29.6295,68.9,61,7.54196
29.6394,69.8,65,5.80151
