---SAE UIC MOTORSPORTS---
---Version #: 1.7---
Message ID: 0x0005AE01

Time Stamp (Second(s)), Engine Speed (RPM), Throttle (%), Intake Temp (C), Coolant Temp (C), Vehicle Speed (KPH), Lambda #2, Battery Voltage (V)
1.008,5346.08,23.0466,6,24,0,0,13.8265
1.0095,5383.58,20.3122,5,24,0,0,13.8265
1.0273,4276.55,17.9685,6,24,0,0,13.5751
1.0295,4114.44,17.9685,5,24,0,0,13.5751
1.0395,3501.55,17.9685,5,24,0,0,13.7636
1.0503,2860.54,17.9685,5,24,0,0,13.7636
1.0595,2335.15,18.3591,6,24,0,0,13.7008
1.0695,1935.54,18.7498,6,24,0,0,13.198
1.0796,1630.07,19.1404,6,24,0,0,13.3866
1.0894,1345.31,19.531,6,24,0,0,13.0095
1.1004,1205.86,19.9216,6,24,0,0,13.1352
1.1094,1132.42,21.8747,5,24,0,0,12.3181
1.1273,1429.29,29.6871,6,24,0,0,13.1352
1.1296,1455.47,30.0777,6,24,0,0,13.8265
1.1396,1964.84,24.2184,6,24,0,0,13.7636
1.1507,2629.29,18.3591,6,25,0,0,14.2036
1.1595,3042.96,23.8278,7,25,0,0,13.3237
1.1695,3180.46,24.9997,6,25,0,0,13.9522
1.1795,4274.21,24.9997,5,24,0,0,13.5123
1.1895,4777.72,24.9997,6,25,0,0,13.8265
1.2083,4589.05,25.3903,6,25,0,0,13.5751
1.2095,4573.43,25.7809,6,25,0,0,13.5751
1.2274,4571.08,25.3903,6,24,0,0,14.0779
1.2295,4555.46,25.3903,6,25,0,0,14.0779
1.2394,4474.99,25.3903,5,24,0,0,13.7008
1.2504,4548.82,24.9997,6,25,0,0,13.3866
1.2674,4650.77,24.9997,6,24,0,0,13.5123
1.2696,4639.83,24.9997,5,25,0,0,13.5123
1.2874,4536.32,25.3903,7,24,0,0,13.7636
1.2896,4603.11,25.3903,6,25,0,0,13.7636
1.3005,4687.1,25.7809,5,24,0,0,13.7008
1.3096,4743.35,26.5622,7,25,0,0,13.8265
1.3273,4841.79,28.1246,5,25,0,0,13.638
1.3295,4917.96,28.1246,6,25,0,0,13.638
1.3473,5086.32,30.4684,6,25,0,0,13.5123
1.3505,5178.89,30.859,5,24,0,0,13.7636
1.3672,4109.76,33.5933,7,25,0,0,13.638
1.3694,3966.4,33.2027,6,25,0,0,13.638
1.3794,4194.13,39.4526,7,25,0,0,13.5123
1.3895,4597.65,46.8744,6,24,0,0,13.7008
1.4003,5485.14,40.6245,6,25,0,0,13.7008
1.4095,4842.18,29.6871,7,25,0,0,13.638
1.4273,3504.68,23.8278,5,25,0,0,13.638
1.4295,3373.43,23.4372,5,25,0,0,14.0779
1.4473,1499.61,39.8432,6,25,0,0,13.0723
1.4503,1564.06,39.4526,6,25,0,0,13.0723
1.4595,2589.06,39.4526,7,25,0,0,13.8893
1.4695,2139.06,24.2184,7,25,0,0,13.7008
1.4795,1887.5,26.5622,5,25,0,0,13.7008
1.4894,2489.84,27.734,6,25,0,0,14.3293
1.5003,2375.78,25.7809,5,25,0,0,14.0779
1.5095,1985.93,25.7809,6,25,0,0,13.3866
1.5195,2701.95,26.9528,6,25,0,0,13.7636
1.5295,2837.88,21.8747,6,25,0,0,14.015
1.5395,2263.28,22.2653,5,25,0,0,13.3237
1.5503,2680.07,23.0466,6,25,0,0,13.7008
